,0.25,0.375,0.5
0,11.0,8.0,11.0
1,9.0,13.0,8.0
2,103.0,12.0,6.0
3,9.0,10.0,8.0
4,7.0,4.0,7.0
5,9.0,5.0,9.0
6,9.0,9.0,13.0
7,4.0,9.0,9.0
8,9.0,8.0,9.0
9,10.0,14.0,9.0
10,9.0,141.0,9.0
11,6.0,10.0,12.0
12,8.0,5.0,4.0
13,7.0,11.0,8.0
14,9.0,7.0,5.0
15,9.0,9.0,9.0
16,8.0,8.0,9.0
17,10.0,9.0,4.0
18,6.0,9.0,8.0
19,8.0,7.0,10.0
20,6.0,8.0,10.0
21,8.0,10.0,6.0
22,10.0,9.0,9.0
23,10.0,14.0,8.0
24,9.0,7.0,7.0
25,11.0,16.0,7.0
26,14.0,8.0,6.0
27,6.0,7.0,11.0
28,13.0,8.0,8.0
29,10.0,9.0,11.0
30,14.0,10.0,7.0
31,10.0,12.0,7.0
32,11.0,7.0,11.0
33,8.0,7.0,10.0
34,10.0,12.0,8.0
35,8.0,11.0,186.0
36,7.0,11.0,14.0
37,7.0,5.0,9.0
38,14.0,9.0,8.0
39,8.0,7.0,11.0
40,8.0,11.0,5.0
41,11.0,10.0,11.0
42,5.0,10.0,7.0
43,12.0,11.0,12.0
44,13.0,10.0,10.0
45,8.0,13.0,10.0
46,15.0,8.0,10.0
47,11.0,9.0,7.0
48,11.0,12.0,10.0
49,4.0,6.0,7.0
50,11.0,7.0,15.0
51,15.0,14.0,3.0
52,9.0,10.0,7.0
53,9.0,7.0,7.0
54,81.0,5.0,11.0
55,7.0,10.0,15.0
56,8.0,9.0,10.0
57,14.0,11.0,10.0
58,10.0,5.0,10.0
59,12.0,12.0,8.0
60,8.0,11.0,9.0
61,8.0,11.0,14.0
62,11.0,11.0,14.0
63,14.0,7.0,11.0
64,9.0,12.0,11.0
65,8.0,9.0,8.0
66,9.0,6.0,6.0
67,6.0,161.0,8.0
68,12.0,5.0,11.0
69,14.0,8.0,4.0
70,11.0,8.0,9.0
71,7.0,11.0,6.0
72,7.0,10.0,6.0
73,12.0,10.0,6.0
74,6.0,7.0,12.0
75,8.0,8.0,2.0
76,12.0,9.0,11.0
77,11.0,11.0,7.0
78,10.0,8.0,13.0
79,5.0,11.0,10.0
80,10.0,10.0,10.0
81,8.0,15.0,9.0
82,11.0,10.0,6.0
83,16.0,4.0,9.0
84,9.0,13.0,4.0
85,5.0,9.0,8.0
86,12.0,10.0,13.0
87,9.0,5.0,177.0
88,12.0,10.0,9.0
89,10.0,7.0,7.0
90,13.0,15.0,6.0
91,10.0,14.0,8.0
92,13.0,6.0,7.0
93,16.0,11.0,3.0
94,98.0,9.0,7.0
95,10.0,7.0,6.0
96,10.0,6.0,5.0
97,11.0,7.0,7.0
98,10.0,6.0,6.0
99,14.0,8.0,11.0
100,6.0,9.0,9.0
101,11.0,7.0,5.0
102,7.0,8.0,9.0
103,9.0,16.0,4.0
104,8.0,1.0,6.0
105,15.0,9.0,5.0
106,9.0,7.0,12.0
107,13.0,7.0,13.0
108,9.0,9.0,4.0
109,9.0,14.0,8.0
110,18.0,10.0,4.0
111,6.0,10.0,12.0
112,12.0,9.0,6.0
113,14.0,9.0,206.0
114,11.0,10.0,8.0
115,7.0,10.0,9.0
116,15.0,7.0,10.0
117,15.0,7.0,12.0
118,7.0,9.0,9.0
119,11.0,14.0,12.0
120,8.0,5.0,5.0
121,10.0,8.0,4.0
122,10.0,8.0,7.0
123,11.0,11.0,6.0
124,9.0,8.0,5.0
125,8.0,5.0,9.0
126,11.0,11.0,11.0
127,13.0,8.0,8.0
128,12.0,10.0,13.0
129,13.0,9.0,9.0
130,6.0,7.0,4.0
131,5.0,13.0,8.0
132,12.0,11.0,5.0
133,8.0,10.0,10.0
134,10.0,12.0,7.0
135,13.0,12.0,5.0
136,8.0,16.0,9.0
137,10.0,10.0,8.0
138,17.0,13.0,9.0
139,11.0,10.0,17.0
140,7.0,14.0,7.0
141,9.0,13.0,4.0
142,12.0,9.0,4.0
143,10.0,11.0,8.0
144,13.0,9.0,8.0
145,11.0,10.0,7.0
146,6.0,15.0,7.0
147,12.0,9.0,5.0
148,18.0,12.0,6.0
149,10.0,6.0,4.0
150,11.0,10.0,13.0
151,13.0,15.0,10.0
152,10.0,15.0,11.0
153,98.0,4.0,9.0
154,9.0,9.0,8.0
155,14.0,8.0,6.0
156,14.0,7.0,10.0
157,12.0,11.0,8.0
158,11.0,10.0,6.0
159,9.0,11.0,5.0
160,10.0,11.0,6.0
161,8.0,4.0,6.0
162,14.0,8.0,5.0
163,8.0,10.0,11.0
164,11.0,5.0,9.0
165,9.0,8.0,7.0
166,9.0,15.0,7.0
167,5.0,11.0,10.0
168,13.0,8.0,4.0
169,8.0,6.0,7.0
170,5.0,12.0,12.0
171,15.0,6.0,5.0
172,11.0,11.0,7.0
173,15.0,4.0,9.0
174,9.0,9.0,10.0
175,6.0,8.0,10.0
176,20.0,8.0,3.0
177,6.0,7.0,7.0
178,15.0,7.0,11.0
179,6.0,11.0,9.0
180,13.0,4.0,6.0
181,11.0,6.0,11.0
182,8.0,13.0,8.0
183,13.0,4.0,7.0
184,14.0,10.0,11.0
185,13.0,5.0,3.0
186,14.0,4.0,4.0
187,10.0,5.0,2.0
188,15.0,7.0,8.0
189,3.0,11.0,8.0
190,12.0,11.0,10.0
191,10.0,12.0,6.0
192,9.0,6.0,7.0
193,16.0,7.0,8.0
194,15.0,7.0,11.0
195,6.0,11.0,7.0
196,14.0,11.0,9.0
197,10.0,10.0,6.0
198,10.0,14.0,11.0
199,18.0,6.0,197.0
200,8.0,10.0,15.0
201,12.0,7.0,8.0
202,13.0,5.0,12.0
203,6.0,6.0,13.0
204,10.0,12.0,3.0
205,10.0,8.0,1.0
206,97.0,13.0,19.0
207,9.0,8.0,3.0
208,15.0,4.0,8.0
209,9.0,8.0,207.0
210,7.0,6.0,9.0
211,14.0,9.0,8.0
212,10.0,10.0,9.0
213,10.0,5.0,6.0
214,9.0,166.0,13.0
215,3.0,9.0,4.0
216,15.0,2.0,7.0
217,9.0,13.0,10.0
218,9.0,12.0,11.0
219,12.0,11.0,7.0
220,13.0,7.0,8.0
221,9.0,9.0,6.0
222,13.0,11.0,10.0
223,5.0,7.0,12.0
224,11.0,12.0,6.0
225,16.0,10.0,8.0
226,8.0,3.0,4.0
227,10.0,8.0,9.0
228,7.0,8.0,8.0
229,9.0,6.0,10.0
230,17.0,10.0,8.0
231,3.0,9.0,7.0
232,13.0,14.0,12.0
233,10.0,10.0,4.0
234,11.0,8.0,6.0
235,10.0,10.0,213.0
236,8.0,7.0,3.0
237,7.0,6.0,8.0
238,11.0,12.0,6.0
239,6.0,7.0,12.0
240,14.0,10.0,11.0
241,9.0,8.0,6.0
242,11.0,11.0,6.0
243,10.0,10.0,7.0
244,14.0,147.0,10.0
245,4.0,14.0,9.0
246,12.0,10.0,1.0
247,6.0,138.0,3.0
248,18.0,9.0,4.0
249,10.0,3.0,6.0
250,8.0,6.0,9.0
251,8.0,6.0,9.0
252,7.0,10.0,11.0
253,90.0,9.0,4.0
254,13.0,11.0,7.0
255,14.0,8.0,8.0
256,9.0,12.0,14.0
257,14.0,10.0,9.0
258,8.0,11.0,11.0
259,8.0,10.0,13.0
260,15.0,11.0,5.0
261,12.0,6.0,5.0
262,13.0,8.0,11.0
263,10.0,11.0,5.0
264,7.0,7.0,9.0
265,9.0,10.0,7.0
266,16.0,11.0,2.0
267,14.0,13.0,10.0
268,14.0,6.0,8.0
269,15.0,6.0,9.0
270,13.0,143.0,8.0
271,10.0,8.0,10.0
272,9.0,8.0,10.0
273,10.0,12.0,9.0
274,15.0,12.0,9.0
275,7.0,9.0,4.0
276,8.0,12.0,8.0
277,8.0,15.0,8.0
278,13.0,14.0,9.0
279,9.0,4.0,7.0
280,10.0,11.0,8.0
281,14.0,13.0,8.0
282,17.0,11.0,0.0
283,9.0,7.0,11.0
284,12.0,13.0,6.0
285,11.0,12.0,185.0
286,6.0,9.0,3.0
287,11.0,136.0,6.0
288,8.0,11.0,8.0
289,13.0,12.0,184.0
290,8.0,7.0,12.0
291,12.0,3.0,11.0
292,6.0,8.0,3.0
293,14.0,10.0,7.0
294,9.0,11.0,12.0
295,6.0,3.0,9.0
296,9.0,8.0,8.0
297,16.0,9.0,8.0
298,15.0,5.0,9.0
299,14.0,13.0,12.0
300,11.0,5.0,4.0
301,13.0,9.0,10.0
302,6.0,6.0,10.0
303,11.0,12.0,11.0
304,10.0,8.0,8.0
305,7.0,11.0,10.0
306,10.0,8.0,5.0
307,76.0,5.0,13.0
308,13.0,9.0,8.0
309,16.0,12.0,8.0
310,12.0,11.0,7.0
311,15.0,12.0,7.0
312,11.0,12.0,7.0
313,8.0,12.0,5.0
314,11.0,10.0,6.0
315,10.0,10.0,12.0
316,9.0,10.0,9.0
317,10.0,7.0,8.0
318,11.0,14.0,12.0
319,8.0,7.0,15.0
320,14.0,9.0,7.0
321,8.0,13.0,8.0
322,6.0,11.0,10.0
323,10.0,5.0,7.0
324,12.0,13.0,6.0
325,7.0,10.0,12.0
326,5.0,5.0,10.0
327,10.0,7.0,9.0
328,9.0,16.0,10.0
329,11.0,3.0,9.0
330,6.0,13.0,5.0
331,12.0,11.0,12.0
332,8.0,16.0,7.0
333,11.0,11.0,10.0
334,13.0,9.0,11.0
335,14.0,10.0,189.0
336,11.0,8.0,13.0
337,12.0,9.0,11.0
338,6.0,6.0,15.0
339,12.0,8.0,4.0
340,12.0,11.0,8.0
341,9.0,9.0,9.0
342,12.0,11.0,8.0
343,6.0,13.0,13.0
344,12.0,12.0,13.0
345,7.0,6.0,9.0
346,8.0,6.0,9.0
347,5.0,8.0,3.0
348,9.0,10.0,7.0
349,14.0,7.0,8.0
350,7.0,8.0,6.0
351,12.0,10.0,4.0
352,14.0,9.0,9.0
353,3.0,8.0,12.0
354,11.0,12.0,7.0
355,7.0,6.0,6.0
356,15.0,7.0,6.0
357,14.0,11.0,194.0
358,13.0,9.0,7.0
359,10.0,6.0,10.0
360,10.0,8.0,1.0
361,8.0,5.0,11.0
362,12.0,8.0,12.0
363,10.0,9.0,9.0
364,13.0,12.0,12.0
365,4.0,11.0,12.0
366,11.0,7.0,8.0
367,6.0,3.0,9.0
368,7.0,5.0,8.0
369,13.0,10.0,14.0
370,8.0,7.0,4.0
371,22.0,12.0,3.0
372,15.0,14.0,18.0
373,7.0,9.0,7.0
374,7.0,6.0,12.0
375,8.0,7.0,7.0
376,9.0,8.0,7.0
377,10.0,8.0,3.0
378,16.0,5.0,13.0
379,9.0,10.0,13.0
380,9.0,12.0,4.0
381,11.0,6.0,21.0
382,15.0,10.0,12.0
383,12.0,9.0,5.0
384,7.0,11.0,9.0
385,9.0,9.0,6.0
386,5.0,6.0,9.0
387,14.0,12.0,9.0
388,6.0,7.0,6.0
389,14.0,6.0,8.0
390,14.0,7.0,16.0
391,14.0,4.0,9.0
392,12.0,15.0,7.0
393,12.0,11.0,7.0
394,12.0,10.0,9.0
395,15.0,161.0,7.0
396,5.0,14.0,9.0
397,11.0,11.0,6.0
398,7.0,8.0,9.0
399,9.0,10.0,10.0
400,6.0,4.0,13.0
401,9.0,6.0,4.0
402,11.0,12.0,10.0
403,7.0,18.0,5.0
404,12.0,6.0,8.0
405,7.0,11.0,4.0
406,8.0,10.0,12.0
407,7.0,6.0,9.0
408,13.0,11.0,10.0
409,11.0,9.0,11.0
410,14.0,12.0,13.0
411,9.0,8.0,6.0
412,8.0,7.0,12.0
413,11.0,11.0,5.0
414,11.0,6.0,7.0
415,9.0,7.0,10.0
416,5.0,9.0,8.0
417,15.0,13.0,6.0
418,6.0,12.0,6.0
419,9.0,9.0,7.0
420,9.0,4.0,10.0
421,14.0,7.0,10.0
422,10.0,9.0,4.0
423,12.0,3.0,13.0
424,8.0,12.0,5.0
425,5.0,18.0,14.0
426,7.0,9.0,5.0
427,10.0,8.0,7.0
