,0.25,0.375,0.5
0,10.0,9.0,17.0
1,13.0,5.0,11.0
2,6.0,8.0,13.0
3,14.0,9.0,12.0
4,9.0,10.0,14.0
5,13.0,7.0,10.0
6,7.0,5.0,8.0
7,10.0,9.0,8.0
8,10.0,7.0,6.0
9,9.0,6.0,10.0
10,10.0,11.0,15.0
11,8.0,9.0,5.0
12,11.0,13.0,7.0
13,21.0,13.0,7.0
14,11.0,12.0,8.0
15,14.0,8.0,8.0
16,14.0,15.0,9.0
17,11.0,12.0,6.0
18,9.0,13.0,9.0
19,8.0,10.0,5.0
20,6.0,7.0,6.0
21,11.0,6.0,12.0
22,105.0,7.0,10.0
23,10.0,12.0,10.0
24,9.0,7.0,9.0
25,10.0,11.0,7.0
26,17.0,12.0,7.0
27,13.0,14.0,9.0
28,8.0,7.0,6.0
29,15.0,6.0,3.0
30,17.0,5.0,16.0
31,8.0,13.0,12.0
32,7.0,8.0,7.0
33,10.0,5.0,11.0
34,15.0,10.0,14.0
35,16.0,13.0,14.0
36,14.0,8.0,178.0
37,10.0,6.0,5.0
38,12.0,12.0,5.0
39,19.0,13.0,9.0
40,10.0,5.0,12.0
41,9.0,13.0,5.0
42,13.0,10.0,8.0
43,11.0,9.0,13.0
44,12.0,8.0,219.0
45,11.0,6.0,6.0
46,5.0,15.0,6.0
47,13.0,9.0,8.0
48,8.0,11.0,9.0
49,9.0,13.0,7.0
50,9.0,6.0,9.0
51,7.0,6.0,8.0
52,16.0,8.0,6.0
53,10.0,9.0,10.0
54,8.0,10.0,9.0
55,12.0,6.0,8.0
56,7.0,8.0,9.0
57,11.0,6.0,6.0
58,13.0,5.0,9.0
59,20.0,13.0,12.0
60,10.0,10.0,8.0
61,4.0,7.0,14.0
62,80.0,10.0,12.0
63,13.0,8.0,11.0
64,9.0,11.0,7.0
65,14.0,7.0,4.0
66,10.0,3.0,8.0
67,13.0,14.0,10.0
68,12.0,14.0,9.0
69,10.0,11.0,16.0
70,6.0,7.0,8.0
71,13.0,14.0,8.0
72,11.0,9.0,6.0
73,8.0,11.0,4.0
74,11.0,7.0,8.0
75,10.0,9.0,9.0
76,5.0,8.0,5.0
77,8.0,7.0,9.0
78,12.0,14.0,7.0
79,9.0,9.0,5.0
80,11.0,6.0,10.0
81,21.0,11.0,10.0
82,15.0,12.0,2.0
83,12.0,3.0,5.0
84,6.0,13.0,7.0
85,10.0,14.0,7.0
86,18.0,17.0,13.0
87,10.0,12.0,8.0
88,15.0,9.0,8.0
89,5.0,131.0,6.0
90,15.0,8.0,11.0
91,12.0,13.0,12.0
92,11.0,10.0,8.0
93,13.0,10.0,11.0
94,13.0,9.0,12.0
95,10.0,9.0,6.0
96,3.0,10.0,11.0
97,6.0,13.0,9.0
98,11.0,6.0,6.0
99,95.0,10.0,10.0
100,9.0,4.0,10.0
101,10.0,4.0,5.0
102,13.0,3.0,5.0
103,12.0,5.0,8.0
104,10.0,16.0,10.0
105,11.0,9.0,10.0
106,13.0,11.0,12.0
107,11.0,5.0,5.0
108,13.0,8.0,10.0
109,7.0,9.0,7.0
110,8.0,9.0,11.0
111,9.0,14.0,8.0
112,15.0,8.0,5.0
113,11.0,8.0,5.0
114,14.0,3.0,14.0
115,14.0,9.0,8.0
116,11.0,8.0,7.0
117,11.0,163.0,10.0
118,7.0,10.0,4.0
119,11.0,10.0,5.0
120,11.0,11.0,9.0
121,12.0,11.0,6.0
122,8.0,11.0,7.0
123,13.0,7.0,10.0
124,13.0,9.0,10.0
125,12.0,4.0,10.0
126,14.0,8.0,9.0
127,8.0,6.0,3.0
128,13.0,9.0,10.0
129,7.0,12.0,5.0
130,9.0,8.0,5.0
131,11.0,14.0,5.0
132,13.0,7.0,3.0
133,15.0,12.0,9.0
134,8.0,13.0,9.0
135,16.0,12.0,11.0
136,8.0,10.0,9.0
137,6.0,8.0,9.0
138,14.0,10.0,10.0
139,14.0,7.0,2.0
140,12.0,10.0,6.0
141,16.0,7.0,7.0
142,5.0,8.0,14.0
143,11.0,13.0,12.0
144,15.0,10.0,8.0
145,9.0,8.0,12.0
146,11.0,8.0,8.0
147,15.0,8.0,7.0
148,6.0,14.0,9.0
149,6.0,6.0,6.0
150,6.0,7.0,11.0
151,10.0,9.0,2.0
152,12.0,3.0,12.0
153,14.0,9.0,9.0
154,8.0,9.0,5.0
155,14.0,14.0,10.0
156,12.0,9.0,9.0
157,9.0,8.0,4.0
158,11.0,10.0,5.0
159,14.0,11.0,9.0
160,5.0,4.0,5.0
161,13.0,7.0,8.0
162,9.0,9.0,11.0
163,9.0,6.0,9.0
164,10.0,11.0,9.0
165,6.0,11.0,9.0
166,9.0,10.0,9.0
167,13.0,8.0,8.0
168,12.0,9.0,5.0
169,10.0,9.0,6.0
170,11.0,8.0,6.0
171,8.0,11.0,11.0
172,8.0,14.0,3.0
173,6.0,7.0,9.0
174,17.0,10.0,7.0
175,7.0,12.0,13.0
176,8.0,7.0,9.0
177,6.0,7.0,5.0
178,15.0,16.0,12.0
179,17.0,9.0,4.0
180,15.0,10.0,8.0
181,9.0,10.0,9.0
182,12.0,11.0,12.0
183,10.0,9.0,5.0
184,10.0,12.0,8.0
185,7.0,8.0,13.0
186,10.0,8.0,4.0
187,12.0,11.0,4.0
188,17.0,5.0,12.0
189,10.0,13.0,9.0
190,20.0,8.0,9.0
191,9.0,8.0,6.0
192,8.0,12.0,9.0
193,12.0,8.0,7.0
194,15.0,5.0,9.0
195,7.0,7.0,9.0
196,7.0,10.0,4.0
197,10.0,4.0,9.0
198,8.0,8.0,3.0
199,7.0,7.0,8.0
200,8.0,11.0,4.0
201,13.0,13.0,10.0
202,5.0,11.0,7.0
203,10.0,8.0,11.0
204,8.0,8.0,10.0
205,11.0,10.0,187.0
206,12.0,11.0,4.0
207,10.0,11.0,12.0
208,13.0,5.0,14.0
209,12.0,7.0,8.0
210,14.0,11.0,13.0
211,8.0,13.0,8.0
212,8.0,13.0,171.0
213,11.0,8.0,6.0
214,11.0,7.0,5.0
215,9.0,5.0,9.0
216,8.0,8.0,198.0
217,12.0,12.0,5.0
218,13.0,13.0,8.0
219,7.0,6.0,5.0
220,6.0,7.0,10.0
221,11.0,10.0,11.0
222,8.0,7.0,8.0
223,11.0,8.0,14.0
224,8.0,140.0,6.0
225,14.0,13.0,212.0
226,9.0,4.0,13.0
227,12.0,9.0,7.0
228,13.0,14.0,10.0
229,8.0,11.0,8.0
230,16.0,8.0,7.0
231,10.0,4.0,8.0
232,15.0,8.0,10.0
233,9.0,3.0,216.0
234,12.0,16.0,5.0
235,12.0,9.0,4.0
236,12.0,13.0,5.0
237,12.0,7.0,7.0
238,108.0,6.0,7.0
239,13.0,9.0,8.0
240,11.0,11.0,7.0
241,7.0,15.0,8.0
242,13.0,9.0,14.0
243,8.0,13.0,5.0
244,6.0,7.0,7.0
245,13.0,8.0,6.0
246,13.0,6.0,8.0
247,5.0,9.0,13.0
248,12.0,11.0,8.0
249,6.0,4.0,10.0
250,5.0,14.0,6.0
251,17.0,8.0,11.0
252,12.0,10.0,14.0
253,13.0,4.0,7.0
254,10.0,10.0,9.0
255,9.0,13.0,7.0
256,7.0,16.0,4.0
257,12.0,10.0,9.0
258,10.0,10.0,8.0
259,4.0,10.0,6.0
260,12.0,9.0,7.0
261,11.0,11.0,7.0
262,7.0,10.0,11.0
263,8.0,9.0,6.0
264,13.0,4.0,8.0
265,14.0,6.0,8.0
266,10.0,11.0,7.0
267,7.0,6.0,6.0
268,15.0,13.0,10.0
269,11.0,10.0,9.0
270,8.0,10.0,9.0
271,5.0,11.0,5.0
272,10.0,9.0,6.0
273,9.0,9.0,10.0
274,5.0,6.0,11.0
275,14.0,11.0,3.0
276,12.0,7.0,5.0
277,8.0,13.0,13.0
278,6.0,17.0,12.0
279,7.0,8.0,7.0
280,105.0,7.0,11.0
281,10.0,8.0,7.0
282,4.0,10.0,14.0
283,8.0,10.0,7.0
284,19.0,7.0,11.0
285,9.0,7.0,8.0
286,13.0,8.0,197.0
287,12.0,5.0,11.0
288,10.0,6.0,8.0
289,18.0,5.0,6.0
290,11.0,8.0,10.0
291,13.0,10.0,9.0
292,8.0,6.0,11.0
293,7.0,9.0,10.0
294,14.0,7.0,5.0
295,8.0,6.0,7.0
296,13.0,9.0,7.0
297,11.0,12.0,3.0
298,84.0,9.0,8.0
299,12.0,8.0,6.0
300,10.0,4.0,7.0
301,10.0,156.0,8.0
302,16.0,7.0,9.0
303,8.0,7.0,5.0
304,13.0,9.0,13.0
305,6.0,9.0,8.0
306,12.0,6.0,7.0
307,7.0,8.0,4.0
308,10.0,9.0,206.0
309,9.0,8.0,8.0
310,13.0,9.0,5.0
311,7.0,7.0,10.0
312,15.0,13.0,5.0
313,9.0,12.0,13.0
314,7.0,12.0,5.0
315,8.0,4.0,7.0
316,8.0,16.0,9.0
317,8.0,14.0,7.0
318,13.0,9.0,9.0
319,14.0,5.0,5.0
320,9.0,14.0,6.0
321,10.0,8.0,11.0
322,8.0,9.0,5.0
323,9.0,9.0,8.0
324,17.0,9.0,7.0
325,14.0,9.0,8.0
326,7.0,9.0,9.0
327,15.0,10.0,11.0
328,14.0,11.0,173.0
329,8.0,12.0,6.0
330,7.0,7.0,9.0
331,106.0,9.0,8.0
332,8.0,5.0,5.0
333,9.0,13.0,8.0
334,10.0,12.0,3.0
335,13.0,8.0,4.0
336,12.0,7.0,10.0
337,9.0,9.0,13.0
338,11.0,9.0,7.0
339,12.0,9.0,6.0
340,6.0,13.0,7.0
341,8.0,8.0,7.0
342,15.0,9.0,5.0
343,9.0,7.0,8.0
344,15.0,9.0,5.0
