,0.25,0.375,0.5
227,10.0,13.0,6.0
228,10.0,16.0,30.0
229,10.0,21.0,15.0
230,18.0,8.0,13.0
231,20.0,11.0,12.0
232,12.0,8.0,5.0
233,13.0,9.0,9.0
234,10.0,7.0,7.0
235,10.0,9.0,30.0
236,13.0,8.0,26.0
237,6.0,11.0,8.0
238,14.0,18.0,11.0
239,13.0,22.0,21.0
240,10.0,14.0,6.0
241,13.0,9.0,14.0
242,7.0,13.0,31.0
243,12.0,18.0,18.0
244,12.0,17.0,9.0
245,13.0,10.0,19.0
246,13.0,13.0,12.0
247,8.0,14.0,14.0
248,19.0,8.0,6.0
249,16.0,12.0,17.0
250,13.0,3.0,27.0
251,10.0,11.0,23.0
252,11.0,11.0,10.0
253,20.0,14.0,11.0
254,21.0,15.0,3.0
255,13.0,11.0,11.0
256,16.0,12.0,11.0
257,11.0,11.0,8.0
258,4.0,9.0,13.0
259,19.0,16.0,12.0
260,16.0,15.0,7.0
261,15.0,14.0,8.0
262,14.0,8.0,7.0
263,16.0,18.0,13.0
264,13.0,26.0,8.0
265,8.0,10.0,5.0
266,12.0,13.0,7.0
267,9.0,19.0,30.0
268,13.0,10.0,7.0
269,14.0,11.0,10.0
270,13.0,7.0,6.0
271,18.0,16.0,36.0
272,11.0,8.0,38.0
273,10.0,11.0,8.0
274,12.0,13.0,8.0
275,4.0,17.0,2.0
276,12.0,16.0,8.0
277,14.0,14.0,17.0
278,12.0,12.0,8.0
279,15.0,18.0,9.0
280,15.0,9.0,25.0
281,13.0,18.0,14.0
282,9.0,16.0,5.0
283,15.0,6.0,5.0
284,11.0,7.0,13.0
285,12.0,18.0,7.0
286,8.0,21.0,12.0
287,13.0,14.0,23.0
288,9.0,10.0,11.0
289,10.0,5.0,21.0
290,10.0,5.0,9.0
291,16.0,14.0,11.0
292,14.0,15.0,7.0
293,16.0,29.0,11.0
294,7.0,15.0,24.0
295,11.0,8.0,31.0
296,13.0,8.0,9.0
297,11.0,5.0,7.0
298,13.0,12.0,33.0
299,16.0,11.0,26.0
300,17.0,7.0,4.0
301,8.0,6.0,10.0
302,17.0,7.0,29.0
303,16.0,7.0,17.0
304,15.0,8.0,8.0
305,15.0,13.0,30.0
306,12.0,7.0,22.0
307,13.0,9.0,11.0
308,9.0,11.0,11.0
309,9.0,14.0,6.0
310,24.0,25.0,15.0
311,12.0,23.0,10.0
312,17.0,16.0,21.0
313,10.0,14.0,8.0
314,15.0,10.0,8.0
315,9.0,14.0,22.0
316,13.0,8.0,25.0
