,0.25,0.375,0.5
227,12.0,12.0,11.0
228,15.0,4.0,11.0
229,9.0,11.0,23.0
230,19.0,9.0,13.0
231,15.0,9.0,9.0
232,12.0,11.0,10.0
233,12.0,17.0,10.0
234,5.0,7.0,12.0
235,13.0,14.0,14.0
236,16.0,12.0,7.0
237,18.0,10.0,12.0
238,14.0,10.0,11.0
239,14.0,4.0,6.0
240,12.0,9.0,12.0
241,14.0,13.0,24.0
242,17.0,5.0,10.0
243,13.0,10.0,23.0
244,11.0,24.0,8.0
245,7.0,4.0,13.0
246,12.0,19.0,14.0
247,11.0,9.0,24.0
248,10.0,17.0,12.0
249,6.0,13.0,12.0
250,12.0,9.0,9.0
251,9.0,12.0,8.0
252,15.0,11.0,5.0
253,5.0,14.0,11.0
254,14.0,5.0,16.0
255,8.0,12.0,11.0
256,10.0,15.0,12.0
257,12.0,10.0,8.0
258,20.0,9.0,12.0
259,8.0,19.0,39.0
260,16.0,11.0,6.0
261,13.0,10.0,7.0
262,20.0,6.0,13.0
263,9.0,9.0,7.0
264,11.0,11.0,10.0
265,16.0,11.0,12.0
266,11.0,5.0,9.0
267,13.0,22.0,10.0
268,12.0,14.0,27.0
269,16.0,5.0,18.0
270,14.0,13.0,17.0
271,12.0,13.0,13.0
272,18.0,6.0,21.0
273,14.0,8.0,7.0
274,12.0,14.0,29.0
275,8.0,9.0,5.0
276,11.0,11.0,5.0
277,19.0,16.0,19.0
278,9.0,10.0,6.0
279,11.0,19.0,10.0
280,17.0,11.0,5.0
281,12.0,12.0,8.0
282,13.0,10.0,8.0
283,7.0,8.0,7.0
284,10.0,14.0,7.0
285,21.0,8.0,10.0
286,9.0,14.0,8.0
287,13.0,13.0,9.0
288,14.0,20.0,19.0
289,10.0,12.0,11.0
290,11.0,7.0,8.0
291,9.0,12.0,7.0
292,13.0,13.0,5.0
293,12.0,8.0,4.0
294,12.0,13.0,11.0
295,11.0,6.0,10.0
296,15.0,12.0,6.0
297,11.0,10.0,12.0
298,7.0,10.0,6.0
299,13.0,14.0,35.0
300,11.0,15.0,35.0
301,16.0,8.0,13.0
302,16.0,12.0,10.0
303,13.0,9.0,11.0
304,15.0,27.0,13.0
305,9.0,17.0,29.0
306,15.0,7.0,6.0
307,14.0,9.0,10.0
308,11.0,22.0,7.0
309,18.0,7.0,12.0
310,9.0,24.0,12.0
311,16.0,14.0,8.0
312,14.0,5.0,14.0
313,8.0,14.0,10.0
314,16.0,10.0,8.0
315,11.0,22.0,8.0
316,22.0,12.0,23.0
317,10.0,9.0,13.0
318,11.0,16.0,9.0
319,10.0,6.0,21.0
320,10.0,11.0,11.0
321,12.0,21.0,24.0
322,15.0,15.0,8.0
323,15.0,12.0,10.0
324,14.0,9.0,21.0
325,7.0,10.0,8.0
326,10.0,13.0,28.0
327,15.0,15.0,9.0
328,16.0,19.0,7.0
329,12.0,8.0,13.0
330,13.0,12.0,32.0
331,8.0,26.0,9.0
332,11.0,10.0,8.0
333,10.0,19.0,28.0
334,21.0,17.0,11.0
335,6.0,20.0,10.0
336,11.0,9.0,8.0
337,11.0,12.0,14.0
338,11.0,12.0,13.0
339,7.0,7.0,9.0
340,13.0,7.0,10.0
341,7.0,7.0,11.0
342,12.0,14.0,6.0
343,8.0,8.0,11.0
344,11.0,12.0,1.0
345,12.0,14.0,5.0
346,10.0,12.0,12.0
347,15.0,14.0,9.0
348,9.0,17.0,28.0
349,13.0,9.0,26.0
350,6.0,9.0,8.0
351,12.0,7.0,12.0
352,12.0,8.0,7.0
353,11.0,7.0,19.0
354,13.0,12.0,23.0
355,15.0,12.0,8.0
356,8.0,14.0,5.0
357,14.0,21.0,9.0
358,4.0,11.0,15.0
359,18.0,11.0,10.0
360,11.0,11.0,12.0
361,8.0,10.0,11.0
362,17.0,13.0,10.0
363,10.0,7.0,13.0
364,16.0,14.0,7.0
365,12.0,7.0,16.0
366,7.0,9.0,9.0
367,13.0,20.0,10.0
368,12.0,16.0,8.0
369,11.0,10.0,8.0
370,12.0,12.0,10.0
371,12.0,15.0,34.0
372,20.0,30.0,8.0
373,10.0,18.0,10.0
374,15.0,11.0,7.0
375,10.0,8.0,12.0
376,15.0,20.0,10.0
377,11.0,6.0,5.0
378,4.0,12.0,9.0
379,11.0,12.0,5.0
380,11.0,12.0,10.0
381,14.0,11.0,15.0
382,19.0,16.0,8.0
383,5.0,12.0,11.0
384,18.0,25.0,7.0
385,9.0,11.0,8.0
386,9.0,9.0,9.0
387,5.0,29.0,18.0
388,8.0,17.0,7.0
389,13.0,10.0,12.0
390,13.0,10.0,15.0
391,9.0,10.0,6.0
392,12.0,21.0,10.0
393,13.0,17.0,7.0
394,12.0,12.0,28.0
395,12.0,11.0,8.0
396,12.0,10.0,6.0
397,7.0,12.0,26.0
398,10.0,11.0,34.0
399,20.0,14.0,5.0
400,8.0,12.0,11.0
401,15.0,14.0,16.0
402,6.0,10.0,27.0
403,17.0,12.0,12.0
404,15.0,9.0,20.0
405,8.0,21.0,7.0
406,2.0,8.0,17.0
407,6.0,14.0,6.0
408,13.0,7.0,11.0
409,3.0,11.0,13.0
410,7.0,6.0,12.0
411,11.0,10.0,14.0
412,13.0,12.0,22.0
413,14.0,6.0,9.0
414,9.0,5.0,7.0
415,13.0,9.0,7.0
416,10.0,10.0,9.0
417,11.0,12.0,22.0
418,7.0,12.0,12.0
419,11.0,11.0,10.0
420,8.0,30.0,26.0
421,13.0,15.0,9.0
422,15.0,13.0,21.0
423,5.0,14.0,8.0
424,12.0,22.0,8.0
425,9.0,9.0,18.0
426,10.0,14.0,14.0
427,8.0,18.0,8.0
428,12.0,11.0,4.0
429,13.0,13.0,7.0
430,12.0,18.0,9.0
431,14.0,7.0,11.0
432,9.0,11.0,9.0
433,9.0,15.0,10.0
434,16.0,12.0,9.0
435,10.0,12.0,9.0
436,10.0,6.0,6.0
437,16.0,24.0,13.0
438,12.0,15.0,9.0
439,10.0,10.0,10.0
440,12.0,6.0,9.0
441,8.0,8.0,13.0
442,12.0,13.0,8.0
443,7.0,11.0,3.0
444,17.0,16.0,10.0
445,19.0,6.0,13.0
446,8.0,24.0,7.0
447,18.0,9.0,25.0
448,9.0,26.0,10.0
449,9.0,12.0,19.0
450,17.0,11.0,7.0
451,7.0,6.0,8.0
452,13.0,9.0,27.0
453,16.0,21.0,8.0
454,18.0,9.0,9.0
455,15.0,12.0,8.0
456,14.0,6.0,6.0
457,10.0,12.0,5.0
458,21.0,18.0,20.0
459,8.0,17.0,10.0
460,9.0,9.0,9.0
461,20.0,8.0,5.0
462,15.0,9.0,10.0
463,12.0,18.0,19.0
464,13.0,9.0,6.0
465,17.0,22.0,12.0
466,14.0,16.0,24.0
467,15.0,16.0,10.0
468,7.0,13.0,6.0
469,16.0,16.0,11.0
470,9.0,13.0,26.0
471,8.0,4.0,23.0
472,10.0,10.0,10.0
473,18.0,8.0,12.0
474,10.0,12.0,10.0
475,8.0,23.0,9.0
476,14.0,11.0,10.0
477,7.0,30.0,11.0
478,11.0,15.0,8.0
479,16.0,13.0,10.0
480,14.0,10.0,8.0
481,9.0,6.0,11.0
482,20.0,11.0,6.0
483,12.0,14.0,9.0
484,16.0,18.0,4.0
485,18.0,6.0,9.0
486,14.0,25.0,9.0
487,18.0,24.0,25.0
488,14.0,13.0,7.0
489,12.0,6.0,10.0
490,14.0,14.0,10.0
491,13.0,14.0,14.0
492,11.0,9.0,9.0
493,8.0,16.0,12.0
494,8.0,23.0,9.0
495,16.0,26.0,7.0
496,15.0,8.0,29.0
497,11.0,26.0,8.0
498,11.0,12.0,11.0
499,11.0,25.0,9.0
500,11.0,21.0,13.0
501,8.0,9.0,7.0
502,6.0,12.0,6.0
503,9.0,12.0,35.0
504,11.0,12.0,4.0
505,11.0,11.0,9.0
506,8.0,28.0,18.0
507,8.0,9.0,10.0
508,14.0,11.0,9.0
509,10.0,12.0,12.0
510,14.0,10.0,10.0
511,15.0,14.0,6.0
512,13.0,14.0,3.0
513,14.0,8.0,6.0
514,10.0,14.0,4.0
515,10.0,6.0,27.0
516,13.0,23.0,26.0
517,10.0,8.0,5.0
518,14.0,8.0,25.0
519,17.0,9.0,10.0
520,9.0,9.0,12.0
521,15.0,12.0,9.0
522,17.0,11.0,5.0
523,13.0,6.0,18.0
524,14.0,7.0,29.0
525,16.0,8.0,23.0
526,9.0,11.0,23.0
527,13.0,6.0,15.0
528,12.0,10.0,25.0
529,6.0,26.0,11.0
530,10.0,12.0,4.0
531,9.0,17.0,9.0
532,11.0,7.0,4.0
533,17.0,6.0,12.0
534,10.0,7.0,10.0
535,13.0,8.0,30.0
536,10.0,16.0,14.0
537,15.0,12.0,29.0
538,14.0,8.0,9.0
539,11.0,10.0,21.0
540,16.0,11.0,5.0
541,9.0,7.0,8.0
542,13.0,13.0,9.0
543,11.0,20.0,7.0
544,7.0,17.0,24.0
545,14.0,9.0,20.0
546,13.0,5.0,15.0
547,11.0,14.0,7.0
548,11.0,11.0,5.0
549,15.0,19.0,6.0
550,13.0,18.0,6.0
551,11.0,13.0,7.0
552,14.0,7.0,8.0
553,19.0,12.0,14.0
554,20.0,14.0,8.0
555,12.0,10.0,12.0
556,10.0,13.0,27.0
557,7.0,13.0,5.0
558,12.0,10.0,7.0
559,14.0,18.0,5.0
560,12.0,11.0,11.0
561,14.0,7.0,8.0
562,15.0,25.0,10.0
563,13.0,10.0,14.0
564,7.0,10.0,29.0
565,17.0,14.0,10.0
566,13.0,10.0,8.0
567,13.0,11.0,8.0
568,8.0,9.0,9.0
569,11.0,8.0,3.0
570,7.0,23.0,9.0
571,8.0,13.0,7.0
572,11.0,11.0,9.0
573,16.0,15.0,8.0
574,14.0,4.0,8.0
575,8.0,11.0,7.0
576,16.0,17.0,5.0
577,11.0,11.0,22.0
578,6.0,4.0,15.0
579,10.0,12.0,20.0
580,14.0,13.0,12.0
581,14.0,20.0,29.0
582,9.0,9.0,26.0
583,10.0,11.0,23.0
584,10.0,21.0,15.0
585,9.0,16.0,5.0
586,12.0,26.0,4.0
587,12.0,10.0,12.0
588,12.0,8.0,3.0
589,11.0,19.0,13.0
590,12.0,10.0,5.0
591,8.0,8.0,26.0
592,15.0,14.0,8.0
593,9.0,10.0,15.0
594,12.0,11.0,16.0
595,17.0,9.0,14.0
596,15.0,11.0,10.0
