,0.25,0.375,0.5
0,20.0,11.0,11.0
1,5.0,7.0,10.0
2,25.0,1.0,5.0
3,12.0,8.0,10.0
4,25.0,6.0,9.0
5,11.0,6.0,8.0
6,7.0,8.0,7.0
7,10.0,7.0,10.0
8,17.0,8.0,5.0
9,15.0,7.0,59.0
10,8.0,2.0,60.0
11,7.0,11.0,7.0
12,21.0,10.0,8.0
13,18.0,10.0,16.0
14,16.0,14.0,11.0
15,11.0,8.0,13.0
16,11.0,57.0,17.0
17,9.0,10.0,5.0
18,13.0,46.0,7.0
19,10.0,11.0,65.0
20,14.0,8.0,14.0
21,17.0,13.0,4.0
22,15.0,7.0,5.0
23,10.0,11.0,8.0
24,9.0,13.0,10.0
25,7.0,7.0,8.0
26,11.0,8.0,9.0
27,10.0,9.0,6.0
28,13.0,5.0,5.0
29,10.0,13.0,5.0
30,15.0,12.0,8.0
31,7.0,9.0,5.0
32,11.0,9.0,10.0
33,8.0,12.0,7.0
34,6.0,3.0,6.0
35,7.0,14.0,9.0
36,11.0,8.0,12.0
37,5.0,9.0,4.0
38,6.0,8.0,5.0
39,11.0,11.0,61.0
40,10.0,5.0,11.0
41,9.0,11.0,10.0
42,12.0,8.0,8.0
43,8.0,9.0,7.0
44,35.0,6.0,8.0
45,12.0,13.0,53.0
46,12.0,7.0,10.0
47,15.0,8.0,7.0
48,11.0,12.0,6.0
49,11.0,12.0,3.0
50,29.0,8.0,9.0
51,6.0,10.0,8.0
52,17.0,5.0,8.0
53,9.0,8.0,10.0
54,17.0,5.0,6.0
55,11.0,13.0,7.0
56,13.0,44.0,11.0
57,12.0,7.0,11.0
58,10.0,8.0,10.0
59,15.0,12.0,5.0
60,9.0,9.0,18.0
61,13.0,6.0,12.0
62,11.0,7.0,14.0
63,7.0,8.0,9.0
64,14.0,5.0,7.0
65,7.0,9.0,53.0
66,8.0,48.0,6.0
67,13.0,13.0,7.0
68,8.0,5.0,9.0
69,7.0,10.0,5.0
70,8.0,13.0,13.0
71,12.0,9.0,9.0
72,9.0,53.0,6.0
73,14.0,12.0,13.0
74,12.0,11.0,57.0
75,13.0,6.0,4.0
76,8.0,8.0,67.0
77,6.0,9.0,9.0
78,26.0,12.0,74.0
79,10.0,13.0,8.0
80,5.0,5.0,12.0
81,11.0,12.0,8.0
82,11.0,8.0,15.0
83,5.0,8.0,7.0
84,9.0,10.0,7.0
85,3.0,8.0,5.0
86,12.0,9.0,5.0
87,18.0,14.0,12.0
88,13.0,13.0,12.0
89,7.0,13.0,7.0
90,15.0,12.0,7.0
91,11.0,9.0,9.0
92,14.0,13.0,14.0
93,9.0,4.0,6.0
94,12.0,8.0,12.0
95,14.0,12.0,10.0
96,13.0,9.0,6.0
97,6.0,6.0,9.0
98,10.0,9.0,5.0
99,15.0,15.0,11.0
100,12.0,6.0,7.0
101,8.0,5.0,10.0
102,8.0,8.0,10.0
103,14.0,11.0,4.0
104,11.0,13.0,11.0
105,11.0,7.0,18.0
106,6.0,11.0,6.0
107,9.0,14.0,8.0
108,12.0,14.0,10.0
109,9.0,3.0,6.0
110,8.0,10.0,5.0
111,24.0,8.0,8.0
112,9.0,10.0,11.0
113,13.0,12.0,7.0
114,11.0,9.0,14.0
115,13.0,10.0,52.0
116,15.0,16.0,55.0
117,9.0,5.0,66.0
118,11.0,5.0,10.0
119,8.0,7.0,9.0
120,8.0,15.0,8.0
121,14.0,12.0,19.0
122,4.0,5.0,5.0
123,13.0,48.0,5.0
124,9.0,11.0,5.0
125,25.0,14.0,7.0
126,6.0,7.0,6.0
127,10.0,11.0,54.0
128,13.0,4.0,10.0
129,39.0,50.0,10.0
130,11.0,11.0,8.0
131,9.0,13.0,3.0
132,7.0,13.0,7.0
133,13.0,43.0,8.0
134,11.0,10.0,3.0
135,9.0,6.0,8.0
136,14.0,11.0,13.0
137,11.0,8.0,63.0
138,17.0,6.0,51.0
139,10.0,6.0,16.0
140,36.0,7.0,11.0
141,3.0,7.0,7.0
142,9.0,58.0,11.0
143,12.0,6.0,10.0
144,12.0,15.0,9.0
