,0.25,0.375,0.5
0,10.0,49.0,6.0
1,15.0,7.0,3.0
2,3.0,9.0,57.0
3,14.0,9.0,9.0
4,6.0,11.0,8.0
5,13.0,16.0,7.0
6,7.0,8.0,10.0
7,9.0,14.0,10.0
8,10.0,12.0,66.0
9,12.0,5.0,7.0
10,11.0,5.0,10.0
11,10.0,15.0,10.0
12,11.0,13.0,12.0
13,20.0,16.0,5.0
14,29.0,34.0,10.0
15,36.0,9.0,6.0
16,8.0,8.0,11.0
17,8.0,52.0,13.0
18,9.0,10.0,9.0
19,10.0,7.0,7.0
20,8.0,11.0,13.0
21,9.0,11.0,5.0
22,15.0,11.0,9.0
23,10.0,12.0,11.0
24,14.0,5.0,7.0
25,12.0,8.0,8.0
26,13.0,5.0,6.0
27,10.0,7.0,6.0
28,10.0,9.0,8.0
29,11.0,14.0,8.0
30,11.0,15.0,5.0
31,11.0,7.0,6.0
32,36.0,7.0,7.0
33,8.0,48.0,7.0
34,11.0,10.0,11.0
35,7.0,11.0,7.0
36,15.0,6.0,8.0
37,7.0,11.0,6.0
38,13.0,14.0,10.0
39,7.0,9.0,13.0
40,29.0,9.0,9.0
41,17.0,4.0,8.0
42,6.0,5.0,10.0
43,8.0,13.0,60.0
44,7.0,15.0,52.0
45,8.0,7.0,8.0
46,11.0,13.0,1.0
47,16.0,12.0,15.0
48,9.0,10.0,10.0
49,12.0,40.0,9.0
50,12.0,6.0,62.0
51,15.0,6.0,9.0
52,10.0,49.0,9.0
53,11.0,11.0,8.0
54,8.0,11.0,14.0
55,33.0,10.0,5.0
56,38.0,11.0,7.0
57,10.0,9.0,14.0
58,13.0,7.0,6.0
59,8.0,8.0,9.0
60,10.0,8.0,6.0
61,12.0,6.0,4.0
62,28.0,8.0,8.0
63,31.0,43.0,6.0
64,12.0,15.0,7.0
65,10.0,9.0,10.0
66,7.0,3.0,6.0
67,7.0,34.0,4.0
68,9.0,14.0,7.0
69,7.0,11.0,10.0
70,12.0,15.0,7.0
71,9.0,12.0,8.0
72,10.0,12.0,13.0
73,7.0,7.0,8.0
74,31.0,7.0,11.0
75,41.0,7.0,11.0
76,10.0,16.0,11.0
77,5.0,8.0,65.0
78,11.0,8.0,13.0
79,19.0,45.0,12.0
80,13.0,7.0,67.0
81,6.0,11.0,7.0
82,13.0,9.0,8.0
83,13.0,5.0,8.0
84,8.0,10.0,8.0
85,10.0,8.0,8.0
86,18.0,6.0,10.0
87,11.0,8.0,11.0
88,8.0,11.0,13.0
89,31.0,10.0,13.0
90,39.0,7.0,9.0
91,13.0,7.0,5.0
92,15.0,12.0,7.0
93,16.0,15.0,5.0
94,9.0,13.0,11.0
95,8.0,47.0,9.0
96,14.0,10.0,11.0
97,18.0,8.0,10.0
98,13.0,8.0,7.0
99,14.0,10.0,6.0
100,13.0,6.0,72.0
101,11.0,15.0,7.0
102,4.0,6.0,13.0
103,5.0,9.0,12.0
104,8.0,59.0,9.0
105,8.0,5.0,6.0
106,11.0,13.0,4.0
107,7.0,10.0,8.0
108,14.0,5.0,6.0
109,12.0,44.0,54.0
