group : 3, d : 380, weight = 0.100000, result = 12
group : 3, d : 210, weight = 0.100000, result = 10
group : 3, d : 50, weight = 0.100000, result = 14
group : 3, d : 330, weight = 0.100000, result = 10
group : 3, d : 40, weight = 0.100000, result = 13
group : 3, d : 270, weight = 0.100000, result = 13
group : 3, d : 260, weight = 0.100000, result = 15
group : 3, d : 280, weight = 0.100000, result = 7
group : 3, d : 250, weight = 0.100000, result = 10
group : 3, d : 30, weight = 0.100000, result = 13
group : 3, d : 20, weight = 0.100000, result = 16
group : 3, d : 240, weight = 0.100000, result = 12
group : 3, d : 230, weight = 0.100000, result = 11
group : 3, d : 140, weight = 0.100000, result = 19
group : 3, d : 190, weight = 0.100000, result = 14
group : 1, d : 491, weight = 0.100000, result = 16
group : 3, d : 60, weight = 0.100000, result = 11
group : 3, d : 120, weight = 0.100000, result = 8
group : 1, d : 391, weight = 0.100000, result = 15
group : 1, d : 341, weight = 0.100000, result = 5
group : 1, d : 311, weight = 0.100000, result = 41
group : 1, d : 301, weight = 0.100000, result = 14
group : 1, d : 291, weight = 0.100000, result = 14
group : 1, d : 71, weight = 0.100000, result = 8
group : 1, d : 91, weight = 0.100000, result = 7
group : 1, d : 171, weight = 0.100000, result = 14
group : 1, d : 11, weight = 0.100000, result = 20
group : 2, d : 491, weight = 0.100000, result = 10
group : 1, d : 221, weight = 0.100000, result = 11
group : 1, d : 81, weight = 0.100000, result = 9
group : 1, d : 101, weight = 0.100000, result = 9
group : 1, d : 131, weight = 0.100000, result = 6
group : 1, d : 111, weight = 0.100000, result = 13
group : 1, d : 161, weight = 0.100000, result = 9
group : 1, d : 201, weight = 0.100000, result = 6
group : 1, d : 1, weight = 0.100000, result = 13
group : 1, d : 181, weight = 0.100000, result = 12
group : 1, d : 151, weight = 0.100000, result = 22
group : 1, d : 211, weight = 0.100000, result = 11
group : 1, d : 481, weight = 0.100000, result = 13
group : 1, d : 471, weight = 0.100000, result = 12
group : 1, d : 251, weight = 0.100000, result = 11
group : 1, d : 461, weight = 0.100000, result = 11
group : 1, d : 451, weight = 0.100000, result = 13
group : 1, d : 271, weight = 0.100000, result = 15
group : 1, d : 431, weight = 0.100000, result = 13
group : 1, d : 441, weight = 0.100000, result = 8
group : 1, d : 411, weight = 0.100000, result = 14
group : 1, d : 401, weight = 0.100000, result = 11
group : 1, d : 371, weight = 0.100000, result = 14
group : 1, d : 421, weight = 0.100000, result = 13
group : 1, d : 261, weight = 0.100000, result = 14
group : 1, d : 281, weight = 0.100000, result = 13
group : 1, d : 361, weight = 0.100000, result = 14
group : 1, d : 241, weight = 0.100000, result = 9
group : 1, d : 351, weight = 0.100000, result = 19
group : 1, d : 321, weight = 0.100000, result = 11
group : 1, d : 51, weight = 0.100000, result = 12
group : 1, d : 381, weight = 0.100000, result = 13
group : 1, d : 331, weight = 0.100000, result = 11
group : 1, d : 41, weight = 0.100000, result = 12
group : 1, d : 21, weight = 0.100000, result = 9
group : 1, d : 141, weight = 0.100000, result = 8
group : 1, d : 31, weight = 0.100000, result = 39
group : 1, d : 231, weight = 0.100000, result = 20
group : 1, d : 191, weight = 0.100000, result = 9
group : 2, d : 391, weight = 0.100000, result = 15
group : 1, d : 61, weight = 0.100000, result = 6
group : 1, d : 121, weight = 0.100000, result = 16
group : 2, d : 341, weight = 0.100000, result = 11
group : 2, d : 311, weight = 0.100000, result = 16
group : 2, d : 291, weight = 0.100000, result = 15
group : 2, d : 301, weight = 0.100000, result = 8
group : 2, d : 71, weight = 0.100000, result = 11
group : 2, d : 91, weight = 0.100000, result = 21
group : 2, d : 171, weight = 0.100000, result = 13
group : 3, d : 491, weight = 0.100000, result = 10
group : 2, d : 11, weight = 0.100000, result = 10
group : 3, d : 391, weight = 0.100000, result = 3
group : 2, d : 221, weight = 0.100000, result = 6
group : 2, d : 101, weight = 0.100000, result = 10
group : 2, d : 81, weight = 0.100000, result = 10
group : 2, d : 131, weight = 0.100000, result = 11
group : 2, d : 111, weight = 0.100000, result = 14
group : 2, d : 161, weight = 0.100000, result = 14
group : 2, d : 201, weight = 0.100000, result = 8
group : 2, d : 181, weight = 0.100000, result = 5
group : 2, d : 271, weight = 0.100000, result = 16
group : 2, d : 211, weight = 0.100000, result = 45
group : 2, d : 251, weight = 0.100000, result = 20
group : 2, d : 151, weight = 0.100000, result = 12
group : 2, d : 281, weight = 0.100000, result = 13
group : 2, d : 1, weight = 0.100000, result = 8
group : 2, d : 261, weight = 0.100000, result = 13
group : 2, d : 331, weight = 0.100000, result = 17
group : 2, d : 241, weight = 0.100000, result = 10
group : 2, d : 481, weight = 0.100000, result = 13
group : 2, d : 351, weight = 0.100000, result = 15
group : 2, d : 471, weight = 0.100000, result = 47
group : 2, d : 461, weight = 0.100000, result = 12
group : 2, d : 401, weight = 0.100000, result = 16
group : 2, d : 381, weight = 0.100000, result = 17
group : 2, d : 451, weight = 0.100000, result = 15
group : 2, d : 361, weight = 0.100000, result = 8
group : 2, d : 321, weight = 0.100000, result = 10
group : 2, d : 431, weight = 0.100000, result = 11
group : 2, d : 371, weight = 0.100000, result = 13
group : 2, d : 441, weight = 0.100000, result = 13
group : 2, d : 411, weight = 0.100000, result = 18
group : 2, d : 421, weight = 0.100000, result = 13
group : 3, d : 341, weight = 0.100000, result = 5
group : 2, d : 51, weight = 0.100000, result = 11
group : 2, d : 41, weight = 0.100000, result = 11
group : 2, d : 141, weight = 0.100000, result = 12
group : 2, d : 31, weight = 0.100000, result = 17
group : 2, d : 21, weight = 0.100000, result = 21
group : 2, d : 231, weight = 0.100000, result = 12
group : 3, d : 311, weight = 0.100000, result = 13
group : 3, d : 291, weight = 0.100000, result = 14
group : 3, d : 301, weight = 0.100000, result = 8
group : 2, d : 191, weight = 0.100000, result = 15
group : 2, d : 61, weight = 0.100000, result = 14
group : 2, d : 121, weight = 0.100000, result = 9
group : 3, d : 71, weight = 0.100000, result = 6
group : 3, d : 171, weight = 0.100000, result = 4
group : 3, d : 91, weight = 0.100000, result = 10
group : 1, d : 492, weight = 0.100000, result = 16
group : 3, d : 11, weight = 0.100000, result = 9
group : 1, d : 392, weight = 0.100000, result = 6
group : 1, d : 342, weight = 0.100000, result = 16
group : 1, d : 292, weight = 0.100000, result = 14
group : 3, d : 221, weight = 0.100000, result = 13
group : 1, d : 312, weight = 0.100000, result = 10
group : 1, d : 302, weight = 0.100000, result = 10
group : 3, d : 101, weight = 0.100000, result = 11
group : 3, d : 131, weight = 0.100000, result = 17
group : 3, d : 81, weight = 0.100000, result = 14
group : 3, d : 161, weight = 0.100000, result = 32
group : 3, d : 111, weight = 0.100000, result = 7
group : 3, d : 271, weight = 0.100000, result = 9
group : 3, d : 211, weight = 0.100000, result = 10
group : 3, d : 201, weight = 0.100000, result = 13
group : 3, d : 251, weight = 0.100000, result = 13
group : 3, d : 181, weight = 0.100000, result = 8
group : 3, d : 281, weight = 0.100000, result = 13
group : 3, d : 151, weight = 0.100000, result = 10
group : 3, d : 331, weight = 0.100000, result = 9
group : 3, d : 261, weight = 0.100000, result = 12
group : 3, d : 401, weight = 0.100000, result = 16
group : 3, d : 351, weight = 0.100000, result = 13
group : 3, d : 381, weight = 0.100000, result = 6
group : 3, d : 361, weight = 0.100000, result = 10
group : 3, d : 241, weight = 0.100000, result = 16
group : 3, d : 1, weight = 0.100000, result = 10
group : 3, d : 421, weight = 0.100000, result = 14
group : 3, d : 451, weight = 0.100000, result = 11
group : 3, d : 441, weight = 0.100000, result = 15
group : 3, d : 321, weight = 0.100000, result = 12
group : 3, d : 431, weight = 0.100000, result = 12
group : 3, d : 481, weight = 0.100000, result = 13
group : 3, d : 471, weight = 0.100000, result = 13
group : 3, d : 461, weight = 0.100000, result = 11
group : 1, d : 72, weight = 0.100000, result = 10
group : 3, d : 411, weight = 0.100000, result = 11
group : 3, d : 371, weight = 0.100000, result = 8
group : 3, d : 51, weight = 0.100000, result = 10
group : 3, d : 41, weight = 0.100000, result = 11
group : 3, d : 141, weight = 0.100000, result = 22
group : 3, d : 21, weight = 0.100000, result = 10
group : 3, d : 31, weight = 0.100000, result = 11
group : 3, d : 231, weight = 0.100000, result = 38
group : 2, d : 492, weight = 0.100000, result = 17
group : 3, d : 191, weight = 0.100000, result = 12
group : 1, d : 172, weight = 0.100000, result = 12
group : 3, d : 61, weight = 0.100000, result = 4
group : 3, d : 121, weight = 0.100000, result = 10
group : 1, d : 92, weight = 0.100000, result = 14
group : 2, d : 392, weight = 0.100000, result = 16
group : 1, d : 12, weight = 0.100000, result = 16
