group2 : d : 160, weight = 0.100000, result = 6
group3 : d : 160, weight = 0.100000, result = 12
group1 : d : 250, weight = 0.100000, result = 6
group2 : d : 250, weight = 0.100000, result = 8
group3 : d : 250, weight = 0.100000, result = 6
group1 : d : 270, weight = 0.100000, result = 10
group2 : d : 270, weight = 0.100000, result = 11
group3 : d : 270, weight = 0.100000, result = 4
group1 : d : 130, weight = 0.100000, result = 5
group2 : d : 130, weight = 0.100000, result = 7
group3 : d : 130, weight = 0.100000, result = 4
group1 : d : 80, weight = 0.100000, result = 111
group2 : d : 80, weight = 0.100000, result = 110
group3 : d : 80, weight = 0.100000, result = 111
group1 : d : 330, weight = 0.100000, result = 6
group2 : d : 330, weight = 0.100000, result = 7
group3 : d : 330, weight = 0.100000, result = 4
group1 : d : 430, weight = 0.100000, result = 11
group2 : d : 430, weight = 0.100000, result = 7
group3 : d : 430, weight = 0.100000, result = 7
group1 : d : 350, weight = 0.100000, result = 4
group2 : d : 350, weight = 0.100000, result = 6
group3 : d : 350, weight = 0.100000, result = 8
group1 : d : 260, weight = 0.100000, result = 7
group2 : d : 260, weight = 0.100000, result = 7
group3 : d : 260, weight = 0.100000, result = 9
group1 : d : 300, weight = 0.100000, result = 6
group2 : d : 300, weight = 0.100000, result = 4
group3 : d : 300, weight = 0.100000, result = 10
group1 : d : 400, weight = 0.100000, result = 8
group2 : d : 400, weight = 0.100000, result = 9
group3 : d : 400, weight = 0.100000, result = 9
group1 : d : 120, weight = 0.100000, result = 9
group2 : d : 120, weight = 0.100000, result = 4
group3 : d : 120, weight = 0.100000, result = 8
group1 : d : 340, weight = 0.100000, result = 8
group2 : d : 340, weight = 0.100000, result = 5
group3 : d : 340, weight = 0.100000, result = 38
group1 : d : 240, weight = 0.100000, result = 5
group2 : d : 240, weight = 0.100000, result = 8
group3 : d : 240, weight = 0.100000, result = 12
group1 : d : 210, weight = 0.100000, result = 14
group2 : d : 210, weight = 0.100000, result = 13
group3 : d : 210, weight = 0.100000, result = 6
group1 : d : 320, weight = 0.100000, result = 5
group2 : d : 320, weight = 0.100000, result = 4
group3 : d : 320, weight = 0.100000, result = 5
group1 : d : 60, weight = 0.100000, result = 7
group2 : d : 60, weight = 0.100000, result = 5
group3 : d : 60, weight = 0.100000, result = 11
group1 : d : 100, weight = 0.100000, result = 8
group2 : d : 100, weight = 0.100000, result = 7
group3 : d : 100, weight = 0.100000, result = 8
group1 : d : 170, weight = 0.100000, result = 9
group2 : d : 170, weight = 0.100000, result = 7
group3 : d : 170, weight = 0.100000, result = 10
group1 : d : 220, weight = 0.100000, result = 5
group2 : d : 220, weight = 0.100000, result = 5
group3 : d : 220, weight = 0.100000, result = 4
group1 : d : 200, weight = 0.100000, result = 44
group2 : d : 200, weight = 0.100000, result = 8
group3 : d : 200, weight = 0.100000, result = 12
group1 : d : 190, weight = 0.100000, result = 107
group2 : d : 190, weight = 0.100000, result = 104
group3 : d : 190, weight = 0.100000, result = 137
group1 : d : 150, weight = 0.100000, result = 6
group2 : d : 150, weight = 0.100000, result = 6
group3 : d : 150, weight = 0.100000, result = 6
group1 : d : 180, weight = 0.100000, result = 9
group2 : d : 180, weight = 0.100000, result = 9
group3 : d : 180, weight = 0.100000, result = 8
group1 : d : 90, weight = 0.100000, result = 4
group2 : d : 90, weight = 0.100000, result = 10
group3 : d : 90, weight = 0.100000, result = 8
group1 : d : 50, weight = 0.100000, result = 9
group2 : d : 50, weight = 0.100000, result = 6
group3 : d : 50, weight = 0.100000, result = 8
group1 : d : 140, weight = 0.100000, result = 6
group2 : d : 140, weight = 0.100000, result = 10
group3 : d : 140, weight = 0.100000, result = 6
group1 : d : 110, weight = 0.100000, result = 3
group2 : d : 110, weight = 0.100000, result = 3
group3 : d : 110, weight = 0.100000, result = 10
group1 : d : 30, weight = 0.100000, result = 10
group2 : d : 30, weight = 0.100000, result = 5
group3 : d : 30, weight = 0.100000, result = 5
group1 : d : 740, weight = 0.100000, result = 5
group2 : d : 740, weight = 0.100000, result = 3
group3 : d : 740, weight = 0.100000, result = 11
group1 : d : 710, weight = 0.100000, result = 10
group2 : d : 710, weight = 0.100000, result = 9
group3 : d : 710, weight = 0.100000, result = 9
group1 : d : 690, weight = 0.100000, result = 11
group2 : d : 690, weight = 0.100000, result = 3
group3 : d : 690, weight = 0.100000, result = 8
group1 : d : 660, weight = 0.100000, result = 9
group2 : d : 660, weight = 0.100000, result = 9
group3 : d : 660, weight = 0.100000, result = 6
group1 : d : 610, weight = 0.100000, result = 2
group2 : d : 610, weight = 0.100000, result = 10
group3 : d : 610, weight = 0.100000, result = 11
group1 : d : 600, weight = 0.100000, result = 8
group2 : d : 600, weight = 0.100000, result = 3
group3 : d : 600, weight = 0.100000, result = 7
group1 : d : 510, weight = 0.100000, result = 3
group2 : d : 510, weight = 0.100000, result = 9
group3 : d : 510, weight = 0.100000, result = 12
group1 : d : 530, weight = 0.100000, result = 8
group2 : d : 530, weight = 0.100000, result = 5
group3 : d : 530, weight = 0.100000, result = 9
group1 : d : 400, weight = 0.100000, result = 8
group2 : d : 400, weight = 0.100000, result = 9
group3 : d : 400, weight = 0.100000, result = 5
group1 : d : 730, weight = 0.100000, result = 8
group2 : d : 730, weight = 0.100000, result = 7
group3 : d : 730, weight = 0.100000, result = 8
group1 : d : 540, weight = 0.100000, result = 8
group2 : d : 540, weight = 0.100000, result = 5
group3 : d : 540, weight = 0.100000, result = 6
group1 : d : 560, weight = 0.100000, result = 13
group2 : d : 560, weight = 0.100000, result = 6
group3 : d : 560, weight = 0.100000, result = 3
group1 : d : 490, weight = 0.100000, result = 11
group2 : d : 490, weight = 0.100000, result = 8
group3 : d : 490, weight = 0.100000, result = 7
group1 : d : 470, weight = 0.100000, result = 10
group2 : d : 470, weight = 0.100000, result = 9
group3 : d : 470, weight = 0.100000, result = 9
group1 : d : 520, weight = 0.100000, result = 10
group2 : d : 520, weight = 0.100000, result = 8
group3 : d : 520, weight = 0.100000, result = 8
group1 : d : 360, weight = 0.100000, result = 4
group2 : d : 360, weight = 0.100000, result = 8
group3 : d : 360, weight = 0.100000, result = 4
group1 : d : 500, weight = 0.100000, result = 3
group2 : d : 500, weight = 0.100000, result = 8
group3 : d : 500, weight = 0.100000, result = 8
group1 : d : 590, weight = 0.100000, result = 11
group2 : d : 590, weight = 0.100000, result = 6
group3 : d : 590, weight = 0.100000, result = 5
group1 : d : 570, weight = 0.100000, result = 11
group2 : d : 570, weight = 0.100000, result = 5
group3 : d : 570, weight = 0.100000, result = 9
group1 : d : 310, weight = 0.100000, result = 8
group2 : d : 310, weight = 0.100000, result = 8
group3 : d : 310, weight = 0.100000, result = 3
group1 : d : 450, weight = 0.100000, result = 9
group2 : d : 450, weight = 0.100000, result = 5
group3 : d : 450, weight = 0.100000, result = 9
group1 : d : 480, weight = 0.100000, result = 104
group2 : d : 480, weight = 0.100000, result = 109
group3 : d : 480, weight = 0.100000, result = 105
group1 : d : 390, weight = 0.100000, result = 10
group2 : d : 390, weight = 0.100000, result = 3
group3 : d : 390, weight = 0.100000, result = 6
group1 : d : 90, weight = 0.100000, result = 10
group2 : d : 90, weight = 0.100000, result = 11
group3 : d : 90, weight = 0.100000, result = 35
group1 : d : 620, weight = 0.100000, result = 6
group2 : d : 620, weight = 0.100000, result = 11
group3 : d : 620, weight = 0.100000, result = 7
group1 : d : 40, weight = 0.100000, result = 104
group2 : d : 40, weight = 0.100000, result = 103
group3 : d : 40, weight = 0.100000, result = 112
group1 : d : 410, weight = 0.100000, result = 6
group2 : d : 410, weight = 0.100000, result = 3
group3 : d : 410, weight = 0.100000, result = 7
group1 : d : 720, weight = 0.100000, result = 11
group2 : d : 720, weight = 0.100000, result = 34
group3 : d : 720, weight = 0.100000, result = 3
group1 : d : 320, weight = 0.100000, result = 9
group2 : d : 320, weight = 0.100000, result = 9
group3 : d : 320, weight = 0.100000, result = 9
group1 : d : 700, weight = 0.100000, result = 6
group2 : d : 700, weight = 0.100000, result = 8
group3 : d : 700, weight = 0.100000, result = 10
group1 : d : 670, weight = 0.100000, result = 7
group2 : d : 670, weight = 0.100000, result = 4
group3 : d : 670, weight = 0.100000, result = 12
group1 : d : 430, weight = 0.100000, result = 37
group2 : d : 430, weight = 0.100000, result = 7
group3 : d : 430, weight = 0.100000, result = 10
group1 : d : 680, weight = 0.100000, result = 4
group2 : d : 680, weight = 0.100000, result = 3
group3 : d : 680, weight = 0.100000, result = 11
group1 : d : 100, weight = 0.100000, result = 16
group2 : d : 100, weight = 0.100000, result = 35
group3 : d : 100, weight = 0.100000, result = 1
group1 : d : 70, weight = 0.100000, result = 4
group2 : d : 70, weight = 0.100000, result = 5
group3 : d : 70, weight = 0.100000, result = 7
group1 : d : 630, weight = 0.100000, result = 9
group2 : d : 630, weight = 0.100000, result = 4
group3 : d : 630, weight = 0.100000, result = 5
group1 : d : 650, weight = 0.100000, result = 2
group2 : d : 650, weight = 0.100000, result = 6
group3 : d : 650, weight = 0.100000, result = 7
group1 : d : 260, weight = 0.100000, result = 6
group2 : d : 260, weight = 0.100000, result = 6
group3 : d : 260, weight = 0.100000, result = 7
group1 : d : 280, weight = 0.100000, result = 9
group2 : d : 280, weight = 0.100000, result = 5
group3 : d : 280, weight = 0.100000, result = 8
group1 : d : 380, weight = 0.100000, result = 11
group2 : d : 380, weight = 0.100000, result = 6
group3 : d : 380, weight = 0.100000, result = 13
group1 : d : 460, weight = 0.100000, result = 12
group2 : d : 460, weight = 0.100000, result = 12
group3 : d : 460, weight = 0.100000, result = 2
group1 : d : 640, weight = 0.100000, result = 7
group2 : d : 640, weight = 0.100000, result = 8
group3 : d : 640, weight = 0.100000, result = 9
group1 : d : 580, weight = 0.100000, result = 10
group2 : d : 580, weight = 0.100000, result = 9
group3 : d : 580, weight = 0.100000, result = 8
group1 : d : 550, weight = 0.100000, result = 7
group2 : d : 550, weight = 0.100000, result = 6
group3 : d : 550, weight = 0.100000, result = 7
group1 : d : 330, weight = 0.100000, result = 8
group2 : d : 330, weight = 0.100000, result = 8
group3 : d : 330, weight = 0.100000, result = 7
group1 : d : 160, weight = 0.100000, result = 7
group2 : d : 160, weight = 0.100000, result = 8
group3 : d : 160, weight = 0.100000, result = 6
group1 : d : 350, weight = 0.100000, result = 4
group2 : d : 350, weight = 0.100000, result = 9
group3 : d : 350, weight = 0.100000, result = 7
group1 : d : 420, weight = 0.100000, result = 6
group2 : d : 420, weight = 0.100000, result = 2
group3 : d : 420, weight = 0.100000, result = 8
group1 : d : 440, weight = 0.100000, result = 5
group2 : d : 440, weight = 0.100000, result = 9
group3 : d : 440, weight = 0.100000, result = 8
group1 : d : 120, weight = 0.100000, result = 10
group2 : d : 120, weight = 0.100000, result = 5
group3 : d : 120, weight = 0.100000, result = 7
group1 : d : 110, weight = 0.100000, result = 10
group2 : d : 110, weight = 0.100000, result = 7
group3 : d : 110, weight = 0.100000, result = 7
group1 : d : 240, weight = 0.100000, result = 11
group2 : d : 240, weight = 0.100000, result = 5
group3 : d : 240, weight = 0.100000, result = 10
group1 : d : 370, weight = 0.100000, result = 4
group2 : d : 370, weight = 0.100000, result = 33
group3 : d : 370, weight = 0.100000, result = 8
group1 : d : 300, weight = 0.100000, result = 5
group2 : d : 300, weight = 0.100000, result = 7
group3 : d : 300, weight = 0.100000, result = 6
group1 : d : 150, weight = 0.100000, result = 112
group2 : d : 150, weight = 0.100000, result = 108
group3 : d : 150, weight = 0.100000, result = 106
group1 : d : 290, weight = 0.100000, result = 7
group2 : d : 290, weight = 0.100000, result = 2
group3 : d : 290, weight = 0.100000, result = 8
group1 : d : 270, weight = 0.100000, result = 7
group2 : d : 270, weight = 0.100000, result = 7
group3 : d : 270, weight = 0.100000, result = 7
group1 : d : 190, weight = 0.100000, result = 6
group2 : d : 190, weight = 0.100000, result = 8
group3 : d : 190, weight = 0.100000, result = 4
group1 : d : 80, weight = 0.100000, result = 3
group2 : d : 80, weight = 0.100000, result = 10
group3 : d : 80, weight = 0.100000, result = 8
group1 : d : 340, weight = 0.100000, result = 10
group2 : d : 340, weight = 0.100000, result = 7
group3 : d : 340, weight = 0.100000, result = 8
group1 : d : 220, weight = 0.100000, result = 10
group2 : d : 220, weight = 0.100000, result = 8
group3 : d : 220, weight = 0.100000, result = 10
group1 : d : 210, weight = 0.100000, result = 9
group2 : d : 210, weight = 0.100000, result = 8
group3 : d : 210, weight = 0.100000, result = 3
group1 : d : 200, weight = 0.100000, result = 6
group2 : d : 200, weight = 0.100000, result = 9
group3 : d : 200, weight = 0.100000, result = 6
group1 : d : 250, weight = 0.100000, result = 8
group2 : d : 250, weight = 0.100000, result = 7
group3 : d : 250, weight = 0.100000, result = 7
group1 : d : 170, weight = 0.100000, result = 12
group2 : d : 170, weight = 0.100000, result = 13
group3 : d : 170, weight = 0.100000, result = 5
group1 : d : 230, weight = 0.100000, result = 7
group2 : d : 230, weight = 0.100000, result = 3
group3 : d : 230, weight = 0.100000, result = 10
group1 : d : 60, weight = 0.100000, result = 8
group2 : d : 60, weight = 0.100000, result = 3
group3 : d : 60, weight = 0.100000, result = 6
group1 : d : 140, weight = 0.100000, result = 9
group2 : d : 140, weight = 0.100000, result = 9
group3 : d : 140, weight = 0.100000, result = 6
group1 : d : 130, weight = 0.100000, result = 8
group2 : d : 130, weight = 0.100000, result = 4
group3 : d : 130, weight = 0.100000, result = 8
group1 : d : 180, weight = 0.100000, result = 7
group2 : d : 180, weight = 0.100000, result = 5
group3 : d : 180, weight = 0.100000, result = 5
group1 : d : 50, weight = 0.100000, result = 33
group2 : d : 50, weight = 0.100000, result = 9
group3 : d : 50, weight = 0.100000, result = 9
group1 : d : 0, weight = 0.100000, result = 6
group2 : d : 0, weight = 0.100000, result = 13
group3 : d : 0, weight = 0.100000, result = 5
group1 : d : 30, weight = 0.100000, result = 6
group2 : d : 30, weight = 0.100000, result = 6
group3 : d : 30, weight = 0.100000, result = 12
group1 : d : 20, weight = 0.100000, result = 6
group2 : d : 20, weight = 0.100000, result = 12
group3 : d : 20, weight = 0.100000, result = 10
group1 : d : 10, weight = 0.100000, result = 7
group2 : d : 10, weight = 0.100000, result = 8
group3 : d : 10, weight = 0.100000, result = 5
