d: 16, weight: [0.25, 0.5, 0.25], result: 19
d: 16, weight: [0.2, 0.7, 0.1], result: 17
d: 16, weight: [0.2, 0.6, 0.2], result: 15
d: 16, weight: [0.2, 0.5, 0.3], result: 21
d: 16, weight: [0.15, 0.55, 0.3], result: 15
d: 17, weight: [0.25, 0.7, 0.05], result: 5
d: 17, weight: [0.25, 0.6, 0.15], result: 13
d: 17, weight: [0.25, 0.5, 0.25], result: 16
d: 17, weight: [0.2, 0.7, 0.1], result: 8
d: 17, weight: [0.2, 0.6, 0.2], result: 6
d: 17, weight: [0.2, 0.5, 0.3], result: 6
d: 17, weight: [0.15, 0.55, 0.3], result: 11
d: 18, weight: [0.25, 0.7, 0.05], result: 7
d: 18, weight: [0.25, 0.6, 0.15], result: 8
d: 18, weight: [0.25, 0.5, 0.25], result: 13
d: 18, weight: [0.2, 0.7, 0.1], result: 7
d: 18, weight: [0.2, 0.6, 0.2], result: 15
d: 18, weight: [0.2, 0.5, 0.3], result: 16
d: 18, weight: [0.15, 0.55, 0.3], result: 8

d: 1, weight: [0.25, 0.7, 0.05], result: 3
d: 1, weight: [0.25, 0.6, 0.15], result: 10
d: 1, weight: [0.25, 0.5, 0.25], result: 13
d: 1, weight: [0.2, 0.7, 0.1], result: 7
d: 1, weight: [0.2, 0.6, 0.2], result: 5
d: 1, weight: [0.2, 0.5, 0.3], result: 9
d: 1, weight: [0.15, 0.55, 0.3], result: 12
