d : 380, weight = 0.500000, result = 5
d : 90, weight = 0.500000, result = 10
d : 130, weight = 0.500000, result = 1
d : 200, weight = 0.500000, result = 6
d : 140, weight = 0.500000, result = 1
d : 0, weight = 0.500000, result = 3
d : 270, weight = 0.500000, result = 8
d : 310, weight = 0.500000, result = 6
d : 230, weight = 0.500000, result = 11
d : 300, weight = 0.500000, result = 6
d : 190, weight = 0.500000, result = 5
d : 100, weight = 0.500000, result = 3
d : 210, weight = 0.500000, result = 7
d : 60, weight = 0.500000, result = 4
d : 150, weight = 0.500000, result = 2
d : 20, weight = 0.500000, result = 0
d : 170, weight = 0.500000, result = 5
d : 80, weight = 0.500000, result = 4
d : 120, weight = 0.500000, result = 9
d : 250, weight = 0.500000, result = 5
d : 10, weight = 0.500000, result = 5
d : 40, weight = 0.500000, result = 9
d : 30, weight = 0.500000, result = 2
d : 681, weight = 0.100000, result = 6
d : 641, weight = 0.100000, result = 7
d : 691, weight = 0.100000, result = 7
d : 701, weight = 0.100000, result = 8
d : 591, weight = 0.100000, result = 5
d : 621, weight = 0.100000, result = 8
d : 531, weight = 0.100000, result = 7
d : 611, weight = 0.100000, result = 5
d : 581, weight = 0.100000, result = 3
d : 731, weight = 0.100000, result = 11
d : 671, weight = 0.100000, result = 2
d : 461, weight = 0.100000, result = 15
d : 551, weight = 0.100000, result = 6
d : 471, weight = 0.100000, result = 9
d : 421, weight = 0.100000, result = 6
d : 371, weight = 0.100000, result = 8
d : 541, weight = 0.100000, result = 6
d : 521, weight = 0.100000, result = 12
d : 721, weight = 0.100000, result = 9
d : 711, weight = 0.100000, result = 6
d : 741, weight = 0.100000, result = 10
d : 451, weight = 0.100000, result = 9
d : 351, weight = 0.100000, result = 10
d : 331, weight = 0.100000, result = 7
d : 501, weight = 0.100000, result = 8
d : 491, weight = 0.100000, result = 4
d : 661, weight = 0.100000, result = 8
d : 391, weight = 0.100000, result = 18
d : 631, weight = 0.100000, result = 9
d : 651, weight = 0.100000, result = 9
d : 341, weight = 0.100000, result = 6
d : 181, weight = 0.100000, result = 8
d : 401, weight = 0.100000, result = 113
d : 601, weight = 0.100000, result = 8
d : 321, weight = 0.100000, result = 11
d : 261, weight = 0.100000, result = 3
d : 221, weight = 0.100000, result = 11
d : 561, weight = 0.100000, result = 11
d : 381, weight = 0.100000, result = 7
d : 571, weight = 0.100000, result = 9
d : 51, weight = 0.100000, result = 11
d : 411, weight = 0.100000, result = 12
d : 291, weight = 0.100000, result = 10
d : 511, weight = 0.100000, result = 6
d : 241, weight = 0.100000, result = 13
d : 481, weight = 0.100000, result = 10
d : 281, weight = 0.100000, result = 6
d : 71, weight = 0.100000, result = 7
d : 431, weight = 0.100000, result = 12
d : 111, weight = 0.100000, result = 11
d : 361, weight = 0.100000, result = 8
d : 441, weight = 0.100000, result = 6
d : 141, weight = 0.100000, result = 7
d : 161, weight = 0.100000, result = 4
d : 151, weight = 0.100000, result = 6
d : 201, weight = 0.100000, result = 8
d : 191, weight = 0.100000, result = 9
d : 311, weight = 0.100000, result = 7
d : 131, weight = 0.100000, result = 6
d : 91, weight = 0.100000, result = 7
d : 231, weight = 0.100000, result = 7
d : 271, weight = 0.100000, result = 107
d : 1, weight = 0.100000, result = 7
d : 21, weight = 0.100000, result = 11
d : 211, weight = 0.100000, result = 109
d : 101, weight = 0.100000, result = 7
d : 61, weight = 0.100000, result = 4
d : 301, weight = 0.100000, result = 5
d : 81, weight = 0.100000, result = 9
d : 171, weight = 0.100000, result = 8
d : 251, weight = 0.100000, result = 9
d : 121, weight = 0.100000, result = 7
d : 41, weight = 0.100000, result = 9
d : 11, weight = 0.100000, result = 10
d : 31, weight = 0.100000, result = 9
d : 641, weight = 0.200000, result = 9
d : 681, weight = 0.200000, result = 9
d : 691, weight = 0.200000, result = 6
d : 701, weight = 0.200000, result = 8
d : 621, weight = 0.200000, result = 7
d : 591, weight = 0.200000, result = 8
d : 611, weight = 0.200000, result = 5
d : 731, weight = 0.200000, result = 7
d : 671, weight = 0.200000, result = 10
d : 531, weight = 0.200000, result = 6
d : 581, weight = 0.200000, result = 11
d : 461, weight = 0.200000, result = 5
d : 421, weight = 0.200000, result = 9
d : 551, weight = 0.200000, result = 11
d : 521, weight = 0.200000, result = 5
d : 471, weight = 0.200000, result = 6
d : 501, weight = 0.200000, result = 6
d : 541, weight = 0.200000, result = 8
d : 721, weight = 0.200000, result = 12
d : 741, weight = 0.200000, result = 11
d : 711, weight = 0.200000, result = 4
d : 331, weight = 0.200000, result = 9
d : 371, weight = 0.200000, result = 6
d : 451, weight = 0.200000, result = 10
d : 661, weight = 0.200000, result = 3
d : 651, weight = 0.200000, result = 107
